run,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,64m/1024KiB,cpu,0.1508,0.1500,9.3,0,0,100,0.0000,0,0,424.43
1,64m/1024KiB,cpu,0.1431,0.1425,9.5,0,0,100,0.0000,0,0,447.29
2,64m/1024KiB,cpu,0.1302,0.1303,9.5,0,0,100,0.0000,0,0,491.48
run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,64m/1024KiB,libtorrent,0.0506849,0.051506,72.8125,100,100,100,0,0,67108864,1262.7
1,64m/1024KiB,libtorrent,0.0530526,0.053774,72.8906,100,100,100,0,0,67108864,1206.35
2,64m/1024KiB,libtorrent,0.0544374,0.055287,72.9219,100,100,100,0,0,67108864,1175.66
0,64m/1024KiB,metal,0.3699,0.2615,351.1,0,0,100,0.1098,0,67108864,173.01
1,64m/1024KiB,metal,0.3338,0.2567,356.6,0,0,100,0.0959,0,67108864,191.72
2,64m/1024KiB,metal,0.3250,0.2493,358.7,0,0,100,0.0966,0,67108864,196.91
run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,1g/1024KiB,libtorrent,1.17978,1.08286,1032.92,100,100,100,0,0,1073741824,867.962
1,1g/1024KiB,libtorrent,1.15822,1.05668,1032.98,100,100,100,0,0,1073741824,884.113
2,1g/1024KiB,libtorrent,1.02132,0.992326,1032.98,100,100,100,0,0,1073741824,1002.62
0,1g/1024KiB,metal,4.6423,4.1647,1663.8,0,0,100,0.7447,0,1073741824,220.58
1,1g/1024KiB,metal,4.6082,4.1992,1683.6,0,0,100,0.6934,0,1073741824,222.21
2,1g/1024KiB,metal,4.5764,4.1829,1687.6,0,0,100,0.6863,0,1073741824,223.75
0,1g/1024KiB,cpu,2.1418,2.0944,24.2,0,0,100,0.0000,0,0,478.10
1,1g/1024KiB,cpu,2.1377,2.1094,25.3,0,0,100,0.0000,0,0,479.03
2,1g/1024KiB,cpu,2.1450,2.1190,25.4,0,0,100,0.0000,0,0,477.38
