run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,1g/1024KiB,cpu,2.2674,2.2635,24.2,0,0,100,0.0000,0,0,451.63
1,1g/1024KiB,cpu,2.2978,2.2941,24.3,0,0,100,0.0000,0,0,445.65
2,1g/1024KiB,cpu,2.2746,2.2670,24.4,0,0,100,0.0000,0,0,450.19
0,1g/1024KiB,libtorrent,0.913825,0.918622,1032.86,100,100,100,0,0,1073741824,1120.56
1,1g/1024KiB,libtorrent,0.904625,0.910129,1032.95,100,100,100,0,0,1073741824,1131.96
2,1g/1024KiB,libtorrent,0.919503,0.925203,1032.95,100,100,100,0,0,1073741824,1113.64
0,1g/1024KiB,metal,4.7222,4.3327,1631.9,0,0,100,0.6713,0,1073741824,216.85
1,1g/1024KiB,metal,4.6712,4.2729,1644.3,0,0,100,0.6767,0,1073741824,219.21
2,1g/1024KiB,metal,4.6375,4.2600,1644.6,0,0,100,0.6674,0,1073741824,220.81
0,64m/1024KiB,libtorrent,0.0577635,0.058234,72.8125,100,100,100,0,0,67108864,1107.97
1,64m/1024KiB,libtorrent,0.0593958,0.059273,72.8906,100,100,100,0,0,67108864,1077.52
2,64m/1024KiB,libtorrent,0.0549185,0.054426,72.8906,100,100,100,0,0,67108864,1165.36
0,64m/1024KiB,metal,0.3658,0.2742,351.8,0,0,100,0.0994,0,67108864,174.95
1,64m/1024KiB,metal,0.3516,0.2767,354.7,0,0,100,0.0952,0,67108864,182.04
2,64m/1024KiB,metal,0.3494,0.2694,354.9,0,0,100,0.1000,0,67108864,183.18
0,64m/1024KiB,cpu,0.1439,0.1446,9.0,0,0,100,0.0000,0,0,444.70
1,64m/1024KiB,cpu,0.1443,0.1446,9.2,0,0,100,0.0000,0,0,443.63
2,64m/1024KiB,cpu,0.1440,0.1443,9.2,0,0,100,0.0000,0,0,444.41
