libtorrent_version,format,run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
2.1.1,hybrid,0,corpus-256m/1024KiB,libtorrent,0.203042,0.20623,12.1719,100,100,100,0,0,268435456,1260.82
2.1.1,hybrid,1,corpus-256m/1024KiB,libtorrent,0.204598,0.208797,12.2656,100,100,100,0,0,268435456,1251.24
2.1.1,hybrid,2,corpus-256m/1024KiB,libtorrent,0.204292,0.208173,12.2656,100,100,100,0,0,268435456,1253.11
2.1.1,hybrid,3,corpus-256m/1024KiB,libtorrent,0.200107,0.203652,12.2656,100,100,100,0,0,268435456,1279.32
2.1.1,hybrid,4,corpus-256m/1024KiB,libtorrent,0.201831,0.205204,12.2656,100,100,100,0,0,268435456,1268.39
2.1.1,hybrid,5,corpus-256m/1024KiB,libtorrent,0.205897,0.210291,12.3125,100,100,100,0,0,268435456,1243.34
2.1.1,hybrid,6,corpus-256m/1024KiB,libtorrent,0.204899,0.209152,12.3125,100,100,100,0,0,268435456,1249.4
2.1.1,v2,0,corpus-256m/1024KiB,libtorrent,0.111109,0.115605,12.1406,100,100,100,0,0,268435456,2304.04
2.1.1,v2,1,corpus-256m/1024KiB,libtorrent,0.111277,0.115303,12.2031,100,100,100,0,0,268435456,2300.57
2.1.1,v2,2,corpus-256m/1024KiB,libtorrent,0.109906,0.11393,12.2031,100,100,100,0,0,268435456,2329.26
2.1.1,v2,3,corpus-256m/1024KiB,libtorrent,0.110244,0.11404,12.2031,100,100,100,0,0,268435456,2322.13
2.1.1,v2,4,corpus-256m/1024KiB,libtorrent,0.110065,0.113912,12.2344,100,100,100,0,0,268435456,2325.91
2.1.1,v2,5,corpus-256m/1024KiB,libtorrent,0.109713,0.113701,12.2656,100,100,100,0,0,268435456,2333.37
2.1.1,v2,6,corpus-256m/1024KiB,libtorrent,0.112445,0.117416,12.2969,100,100,100,0,0,268435456,2276.67
2.0.14,hybrid,0,corpus-256m/1024KiB,libtorrent,0.203784,0.204289,264.797,100,100,100,0,0,268435456,1256.23
2.0.14,hybrid,1,corpus-256m/1024KiB,libtorrent,0.202245,0.203046,264.828,100,100,100,0,0,268435456,1265.79
2.0.14,hybrid,2,corpus-256m/1024KiB,libtorrent,0.201933,0.202722,264.828,100,100,100,0,0,268435456,1267.75
2.0.14,hybrid,3,corpus-256m/1024KiB,libtorrent,0.202404,0.203099,264.828,100,100,100,0,0,268435456,1264.8
2.0.14,hybrid,4,corpus-256m/1024KiB,libtorrent,0.205432,0.206019,264.859,100,100,100,0,0,268435456,1246.15
2.0.14,hybrid,5,corpus-256m/1024KiB,libtorrent,0.205384,0.205522,264.891,100,100,100,0,0,268435456,1246.44
2.0.14,hybrid,6,corpus-256m/1024KiB,libtorrent,0.201456,0.202171,264.891,100,100,100,0,0,268435456,1270.75
2.0.14,v2,0,corpus-256m/1024KiB,libtorrent,0.106813,0.108211,264.75,100,100,100,0,0,268435456,2396.7
2.0.14,v2,1,corpus-256m/1024KiB,libtorrent,0.106829,0.107982,264.812,100,100,100,0,0,268435456,2396.34
2.0.14,v2,2,corpus-256m/1024KiB,libtorrent,0.110005,0.11142,264.859,100,100,100,0,0,268435456,2327.16
2.0.14,v2,3,corpus-256m/1024KiB,libtorrent,0.106724,0.107867,264.859,100,100,100,0,0,268435456,2398.71
2.0.14,v2,4,corpus-256m/1024KiB,libtorrent,0.107021,0.108284,264.875,100,100,100,0,0,268435456,2392.05
2.0.14,v2,5,corpus-256m/1024KiB,libtorrent,0.106475,0.107685,264.891,100,100,100,0,0,268435456,2404.32
2.0.14,v2,6,corpus-256m/1024KiB,libtorrent,0.106802,0.10821,264.906,100,100,100,0,0,268435456,2396.95
