metric,value,unit,target,result,basis
"registry_restore_100",58.436541,"ms","<=5000","pass","authoritative isolated SQLite restore"
"registry_snapshot_100_p95",6.938125,"ms","<=5000","pass","50 measured in-process command-lane snapshots after 10 warmups"
"phys_footprint_100_idle",12.953766,"MiB","<=350","pass","mach TASK_VM_INFO.phys_footprint; XCTest process includes framework overhead"
"phys_footprint_10_active_of_100",13.110016,"MiB","<=750","pass","100 persisted records; 10 authoritative checking transfers in one coordinator"
"recheck_dispatch_p95",0.943750,"ms","<=200","pass","50 in-process mutation acknowledgements; completion hashing is not represented by StubTransferEngine"
"large_creator_sparse_scan",0.802042,"ms","observational","pass","production SourceScanner over a 2 GiB sparse file"
"large_creator_cancel_reaction",0.521417,"ms","<=1000","pass","CPUHasher 64 KiB cancellation checkpoints on 2 GiB sparse input"
"mutation_ack_during_slow_consumer_p95",1.990875,"ms","<=200","pass","50 in-process pause/resume acknowledgements while event delivery is stalled"
"event_burst_100k_enqueue",0.037125,"ms","observational","pass","100000 mixed torrent/progress/health events in one bounded publish"
"event_queue_depth_after_100k",2.000000,"events","<=256","pass","TransferEventBus pending plus one queued slow-consumer batch"
"health_lane_overload_p95",0.004750,"ms","<=200","pass","100 lock-backed health snapshots with telemetry queue occupied"
"slow_consumer_overflow_resync_marker",1.000000,"boolean","1","pass","overflow recovery marker must survive queued-batch replacement"
"disconnect_burst_resync_seam",1.000000,"boolean","1","pass","in-process sink disconnect plus unknown-revision authoritative snapshot"
"phys_footprint_quiescent_after",38.703789,"MiB","<=350 and <=baseline+64","pass","one second after isolated store close and workload release"
"fd_count_baseline",120.000000,"count","observational","pass","proc_pidinfo PROC_PIDLISTFDS"
"fd_count_during",120.000000,"count","observational","pass","after active records and overload"
"fd_count_quiescent_after",120.000000,"count","<=baseline+4 and <=during","pass","predefined small quiescence tolerance"
"thread_count_baseline",6.000000,"count","observational","pass","proc_pidinfo PROC_PIDTASKINFO"
"thread_count_during",6.000000,"count","observational","pass","after active records and overload"
"thread_count_quiescent_after",5.000000,"count","<=baseline+8 and <=during","pass","predefined small quiescence tolerance"
"idle_cpu_inprocess_median",0.131062,"percent_of_one_core","<=2","pass","30 x 100ms quiescent XCTest-process samples"
"idle_cpu_inprocess_p95",0.168683,"percent_of_one_core","<=5","pass","30 x 100ms quiescent XCTest-process samples"
